id,participant_type,participant_group,duration,sessions,d1_reading_time,d1_q1,d1_q2,d1_q3,d1_q4,d1_q5,d1_q6,d1_rate,d1_correctness,d1_insecurity,d1_insecurity_count,d2_reading_time,d2_q1,d2_q2,d2_q3,d2_q4,d2_q5,d2_q6,d2_rate,d2_correctness,d2_insecurity,d2_insecurity_count,age_range,education_fields,education_level,employment,employment_fields,italian_knowledge
UEFSVEVDSVBBTlRFXzExOA==,REGULAR,C,1001,1,155.115,1.0,1.0,1.0,4.0,1.0,1.0,2.0,5,False,0,467.308,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,25-34,HEALTH,MASTER,EMPLOYEE,HEALTH,M
UEFSVEVDSVBBTlRFXzExOQ==,REGULAR,B,1268,1,378.757,1.0,3.0,2.0,3.0,1.0,1.0,3.0,3,False,0,374.026,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,25-34,ENGINEERING,MASTER,EMPLOYEE,IT,M
UEFSVEVDSVBBTlRFXzEyMA==,REGULAR,A,1474,1,542.914,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4,False,0,429.39,1.0,4.0,2.0,2.0,1.0,1.0,2.0,3,False,0,25-34,ENGINEERING,MASTER,STUDENT,IT,M
UEFSVEVDSVBBTlRFXzEyMg==,REGULAR,B,1170,1,252.307,1.0,3.0,1.0,4.0,2.0,1.0,3.0,3,False,0,349.062,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5,False,0,35-44,JURIDICAL,BACHELOR,EMPLOYEE,OTHER,M
UEFSVEVDSVBBTlRFXzEyMw==,REGULAR,A,1162,1,408.541,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5,False,0,274.132,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5,False,0,35-44,ENGINEERING,MASTER,EMPLOYEE,OTHER,M
UEFSVEVDSVBBTlRFXzEyOA==,REGULAR,C,928,1,283.346,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,305.133,1.0,4.0,2.0,1.0,5.0,2.0,3.0,2,True,1,25-34,OTHER,HIGH,EMPLOYEE,OTHER,M
UEFSVEVDSVBBTlRFXzEzMA==,REGULAR,B,1282,1,342.208,1.0,3.0,1.0,3.0,1.0,1.0,3.0,4,False,0,375.182,1.0,1.0,1.0,5.0,1.0,1.0,4.0,5,True,1,18-24,ARTISTIC,BACHELOR,STUDENT,EDUCATION | HEALTH | ARTISTIC,M
UEFSVEVDSVBBTlRFXzEzNA==,REGULAR,A,1736,1,668.498,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,494.631,1.0,1.0,1.0,2.0,1.0,4.0,2.0,4,False,0,55-64,HUMANISTIC,HIGH,EMPLOYEE,OTHER,M
UEFSVEVDSVBBTlRFXzEzOQ==,REGULAR,B,1690,1,701.297,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4,False,0,442.011,1.0,4.0,3.0,1.0,1.0,2.0,3.0,3,False,0,45-54,OTHER,HIGH,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzg1,REGULAR,B,1819,1,303.904,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6,False,0,1270.089,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,25-34,HUMANISTIC,MASTER,UNEMPLOYED,EDUCATION | ARTISTIC,M
UEFSVEVDSVBBTlRFXzg2,REGULAR,D,1160,1,313.432,1.0,5.0,1.0,1.0,1.0,1.0,5.0,5,True,1,419.291,1.0,1.0,1.0,2.0,1.0,1.0,5.0,5,False,0,55-64,OTHER,MASTER,OTHER,OTHER,M
UEFSVEVDSVBBTlRFXzg3,REGULAR,B,1522,1,618.005,1.0,2.0,1.0,5.0,2.0,3.0,3.0,2,True,1,454.639,1.0,1.0,1.0,2.0,1.0,1.0,2.0,5,False,0,55-64,SCIENTIFIC,MASTER,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzgw,FOREIGNER,C,2105,1,795.923,1.0,3.0,1.0,1.0,2.0,4.0,3.0,3,False,0,704.015,1.0,2.0,1.0,4.0,1.0,2.0,4.0,3,False,0,35-44,ENGINEERING,PHD,EMPLOYEE,IT,C1
UEFSVEVDSVBBTlRFXzgx,REGULAR,D,1118,1,539.676,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5,False,0,238.917,1.0,1.0,2.0,2.0,1.0,1.0,3.0,4,False,0,45-54,ENGINEERING,MASTER,EMPLOYEE,ARTISTIC,M
UEFSVEVDSVBBTlRFXzgy,REGULAR,A,712,1,321.333,1.0,5.0,1.0,4.0,5.0,1.0,4.0,3,True,2,166.133,1.0,5.0,4.0,5.0,5.0,1.0,5.0,2,True,3,25-34,HUMANISTIC,MASTER,EMPLOYEE,OTHER,M
UEFSVEVDSVBBTlRFXzk=,ADMINISTRATIVE,C,775,1,149.936,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4,False,0,361.022,1.0,1.0,3.0,2.0,1.0,1.0,3.0,4,False,0,35-44,JURIDICAL,PHD,EMPLOYEE,ADMINISTRATIVE,M
UEFSVEVDSVBBTlRFXzkx,REGULAR,A,1134,1,479.238,1.0,2.0,2.0,1.0,2.0,1.0,4.0,3,False,0,263.514,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6,False,0,55-64,SCIENTIFIC,MASTER,EMPLOYEE,EDUCATION,M
UEFSVEVDSVBBTlRFXzky,REGULAR,A,7698,2,156.847,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5,False,0,333.651,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6,False,0,18-24,JURIDICAL,HIGH,STUDENT,OTHER,M
UEFSVEVDSVBBTlRFXzQ0,FOREIGNER,D,3058,1,1014.671,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5,False,0,893.936,1.0,1.0,1.0,2.0,1.0,5.0,4.0,4,True,1,18-24,OTHER,HIGH,STUDENT,EDUCATION,B1
UEFSVEVDSVBBTlRFXzQ1,FOREIGNER,B,3668,1,1368.002,1.0,3.0,1.0,1.0,1.0,1.0,4.0,5,False,0,1058.75,1.0,4.0,1.0,3.0,1.0,1.0,5.0,4,False,0,18-24,HUMANISTIC,HIGH,STUDENT,EDUCATION,B1
UEFSVEVDSVBBTlRFXzQ3,FOREIGNER,A,1723,1,550.88,1.0,3.0,1.0,1.0,2.0,3.0,4.0,3,False,0,546.117,1.0,4.0,1.0,2.0,1.0,3.0,4.0,3,False,0,18-24,OTHER,HIGH,STUDENT,EDUCATION,B2
UEFSVEVDSVBBTlRFXzQy,FOREIGNER,B,1709,1,571.499,2.0,3.0,2.0,4.0,2.0,1.0,4.0,1,False,0,550.211,1.0,1.0,1.0,3.0,1.0,1.0,4.0,5,False,0,55-64,HUMANISTIC | EDUCATION,MASTER,EMPLOYEE,EDUCATION,B2
UEFSVEVDSVBBTlRFXzU=,ADMINISTRATIVE,C,1053,1,199.031,1.0,1.0,2.0,4.0,2.0,5.0,4.0,2,True,1,379.787,4.0,1.0,1.0,2.0,1.0,1.0,4.0,4,False,0,55-64,JURIDICAL,MASTER,EMPLOYEE,ADMINISTRATIVE,M
UEFSVEVDSVBBTlRFXzUw,FOREIGNER,A,1262,1,620.984,1.0,3.0,2.0,1.0,1.0,1.0,5.0,4,False,0,242.522,1.0,1.0,1.0,2.0,1.0,1.0,3.0,5,False,0,45-54,HUMANISTIC,BACHELOR,EMPLOYEE,OTHER,B2
UEFSVEVDSVBBTlRFXzUx,FOREIGNER,B,2483,2,1157.067,1.0,3.0,4.0,1.0,1.0,1.0,2.0,4,False,0,612.7,1.0,1.0,1.0,4.0,1.0,1.0,3.0,5,False,0,25-34,HUMANISTIC,BACHELOR,UNEMPLOYED,EDUCATION,C2
UEFSVEVDSVBBTlRFXzY=,ADMINISTRATIVE,D,699,1,193.517,1.0,3.0,2.0,1.0,1.0,1.0,4.0,4,False,0,247.971,1.0,1.0,2.0,2.0,1.0,5.0,4.0,3,True,1,45-54,JURIDICAL,MASTER,EMPLOYEE,EDUCATION,M
